product_id,product_name,category,price
1,As,Other,360.92
2,Arrive,Laptops,2386.61
3,Civil,Laptoop,874.19
4,Building,Other,1833.63
5,Main,Smrtphone,186.69
6,Safe,Other,1593.51
7,Believe,Other,2067.33
8,Center,Other,933.5
9,Relate,Other,1662.84
10,Analysis,Other,1281.86
11,Her,Laptops,843.89
12,Less,Laptoop,296.53
13,Task,Laptoop,165.97
14,Ten,Laptoop,1532.02
15,Design,Smrtphone,1828.31
16,Technology,Accessories,784.63
17,Edge,Laptops,682.07
18,Easy,Smartphones,1606.53
19,Still,Other,1485.31
20,Lawyer,Other,705.58
